amfi_code,scheme_name,expense_ratio_pct,sharpe_ratio,alpha,max_drawdown_pct,cagr_3yr,return_rank,sharpe_rank,alpha_rank,expense_rank,maxdd_rank,composite_score,final_score
119551,SBI Bluechip Fund - Regular Plan - Growth,1.54,1.2083,0.232,-15.01,30.46,35.0,37.0,31.0,10.5,17.0,29.224999999999998,86.46
119552,SBI Bluechip Fund - Direct Plan - Growth,0.66,0.9533,0.1987,-11.8,16.27,18.0,29.0,26.0,37.0,11.0,24.5,72.49
119598,SBI Small Cap Fund - Regular Plan - Growth,1.43,0.9453,0.3034,-28.71,26.67,29.0,27.0,40.0,20.0,36.0,30.05,88.91
119599,SBI Small Cap Fund - Direct Plan - Growth,0.72,-0.0572,0.0488,-52.57,-1.34,3.0,9.0,5.0,35.5,40.0,13.475000000000001,39.87
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,-0.2266,0.0562,-4.33,5.84,9.0,4.0,7.0,32.0,5.0,10.399999999999999,30.77
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.55,-0.2015,0.0375,-24.73,1.29,6.0,6.0,2.0,9.0,34.0,8.45,25.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.92,0.7758,0.1773,-15.2,18.43,22.0,23.0,25.0,27.0,18.0,23.200000000000003,68.64
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,1.0937,0.272,-16.22,32.44,37.0,34.0,35.0,24.0,20.0,32.2,95.27
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,0.3006,0.1199,-21.12,11.25,15.0,14.0,15.0,31.0,29.0,18.549999999999997,54.88
100025,HDFC Short Term Debt Fund - Regular - Growth,0.56,-0.5671,0.0428,-4.31,3.92,7.0,2.0,3.0,39.0,4.0,9.450000000000001,27.96
120503,ICICI Pru Bluechip Fund - Regular - Growth,1.42,0.798,0.177,-13.9,13.98,16.0,24.0,24.0,21.0,14.0,20.15,59.62
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.8,1.0265,0.2119,-12.59,32.49,38.0,31.0,28.0,29.0,12.0,30.3,89.64
120505,ICICI Pru Midcap Fund - Regular - Growth,1.36,1.1801,0.2926,-18.19,31.78,36.0,36.0,38.0,26.0,25.0,33.8,100.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,1.41,0.6489,0.1625,-19.83,18.42,21.0,21.0,21.0,22.0,27.0,21.75,64.35
120507,ICICI Pru Liquid Fund - Regular - Growth,0.74,0.4957,0.0675,-0.1,7.39,12.0,18.0,10.0,34.0,1.0,15.299999999999999,45.27
118632,Nippon India Large Cap Fund - Regular - Growth,1.51,1.0817,0.2183,-17.41,22.65,27.0,33.0,30.0,16.5,23.0,27.125000000000004,80.25
118633,Nippon India Large Cap Fund - Direct - Growth,0.72,0.6452,0.1564,-18.63,21.09,26.0,20.0,19.0,35.5,26.0,24.525000000000002,72.56
118634,Nippon India Small Cap Fund - Regular - Growth,1.53,0.4484,0.175,-23.34,8.01,14.0,15.0,23.0,12.5,32.0,17.625,52.14
118635,Nippon India ETF Nifty 50 BeES,0.89,0.6649,0.1514,-11.65,20.01,24.0,22.0,18.0,28.0,10.0,21.5,63.61
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.55,-0.3566,0.0507,-8.32,4.06,8.0,3.0,6.0,40.0,6.0,10.95,32.4
120841,Kotak Bluechip Fund - Regular - Growth,1.59,0.4943,0.1304,-17.57,17.27,19.0,17.0,16.0,6.0,24.0,16.45,48.67
120842,Kotak Emerging Equity Fund - Regular - Growth,1.56,0.076,0.078,-24.0,7.76,13.0,11.0,12.0,8.0,33.0,13.55,40.09
120843,Kotak Flexicap Fund - Regular - Growth,1.45,1.3067,0.2733,-12.97,29.58,34.0,39.0,36.0,19.0,13.0,31.3,92.6
120844,Kotak Liquid Fund - Regular - Growth,0.6,-0.0887,0.0646,-0.12,6.7,11.0,7.0,9.0,38.0,2.0,12.75,37.72
119092,Axis Bluechip Fund - Regular - Growth,1.64,0.0308,0.069,-14.4,0.53,5.0,10.0,11.0,1.5,15.0,7.925,23.45
119093,Axis Bluechip Fund - Direct - Growth,0.75,0.1296,0.0823,-21.75,20.82,25.0,12.0,13.0,33.0,31.0,21.150000000000002,62.57
119094,Axis Midcap Fund - Regular - Growth,1.38,0.9982,0.2608,-20.96,35.11,40.0,30.0,32.0,24.0,28.0,32.3,95.56
119095,Axis Small Cap Fund - Regular - Growth,1.38,-0.076,0.048,-51.68,-11.71,1.0,8.0,4.0,24.0,39.0,10.6,31.36
101206,ABSL Frontline Equity Fund - Regular - Growth,1.6,1.0272,0.214,-11.29,28.97,32.0,32.0,29.0,4.5,9.0,24.975,73.89
101207,ABSL Small Cap Fund - Regular - Growth,1.53,0.1627,0.109,-35.45,-4.15,2.0,13.0,14.0,12.5,38.0,12.325000000000001,36.46
