amfi_code,scheme_name,max_drawdown_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,-24.73
100025,HDFC Short Term Debt Fund - Regular - Growth,-4.31
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-16.22
101206,ABSL Frontline Equity Fund - Regular - Growth,-11.29
101207,ABSL Small Cap Fund - Regular - Growth,-35.45
101208,ABSL Liquid Fund - Regular - Growth,-0.16
102885,UTI Nifty 50 Index Fund - Regular - Growth,-10.86
102886,UTI Mid Cap Fund - Regular - Growth,-28.0
102887,UTI Flexi Cap Fund - Regular - Growth,-21.54
118632,Nippon India Large Cap Fund - Regular - Growth,-17.41
118633,Nippon India Large Cap Fund - Direct - Growth,-18.63
118634,Nippon India Small Cap Fund - Regular - Growth,-23.34
118635,Nippon India ETF Nifty 50 BeES,-11.65
118636,Nippon India Gilt Securities Fund - Regular - Growth,-8.32
119092,Axis Bluechip Fund - Regular - Growth,-14.4
119093,Axis Bluechip Fund - Direct - Growth,-21.75
119094,Axis Midcap Fund - Regular - Growth,-20.96
119095,Axis Small Cap Fund - Regular - Growth,-51.68
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-4.33
119551,SBI Bluechip Fund - Regular Plan - Growth,-15.01
119552,SBI Bluechip Fund - Direct Plan - Growth,-11.8
119598,SBI Small Cap Fund - Regular Plan - Growth,-28.71
119599,SBI Small Cap Fund - Direct Plan - Growth,-52.57
120503,ICICI Pru Bluechip Fund - Regular - Growth,-13.9
120504,ICICI Pru Bluechip Fund - Direct - Growth,-12.59
120505,ICICI Pru Midcap Fund - Regular - Growth,-18.19
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-19.83
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.1
120841,Kotak Bluechip Fund - Regular - Growth,-17.57
120842,Kotak Emerging Equity Fund - Regular - Growth,-24.0
120843,Kotak Flexicap Fund - Regular - Growth,-12.97
120844,Kotak Liquid Fund - Regular - Growth,-0.12
125497,HDFC Top 100 Fund - Direct Plan - Growth,-15.2
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-21.12
148567,Mirae Asset Large Cap Fund - Regular - Growth,-11.27
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-15.27
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-16.4
149322,DSP Top 100 Equity Fund - Regular - Growth,-14.84
149323,DSP Midcap Fund - Regular - Growth,-17.25
149324,DSP Small Cap Fund - Regular - Growth,-31.17
